ID	Lev	x	y	lx	ly	Тип	Доп	Маска	Конфиг	Комментарий	Сокращ.	Форма	Позиция	Файл F5	Знечение	
										Общежитие	общежитие				к00113	
										Гостиница	гостиница				к00103	
										Дом отдыха, санаторий, пансионат	дом отдыха,санатор,панс-т				к00111	
405	2					av				Хозяйственного назначения	Хоз.назн.					
										Сарай	сарай				к00089	
										Гараж	гараж				к00102	
										Офис	офис				к00139	
406	2					av				Части строений	Части строений					
										Стройка	стройка				к00123	
										Подъезд	подъезд				к06000	
										Подвал	подвал				к05000	
										Лифт	лифт				к07000	
// -----------------------------------------------------------------------------------------																
128	1					rm		2	2f	Сферы обслуживания	Сферы обслуживания					
407	2					av				Тип сферы обслуживания	Тип сферы обслуживания					
										Ателье	ателье				к00180	
										Парикмахерская	парикмахерская				к00181	
										Баня	баня				к00182	
										Химчистка	химчистка				к00183	
										Бюро ритуальных услуг	бюро ритуал. услуг				к00184	
										Кладбище	кладбище				к00185	
										Общественный туалет	обществ. туалет				к00143	
										Касса (помещение)	касса (помещение)				к00116	
										Обменный пункт валюты	обменн. пункт валюты				к00115	
										Банк	банк				к00144	
										Ломбард, скупка	ломбард, скупка				к00135	
									408	Связь	связь					
									409	Торговля	торговля					
									410	Организации досуга	орг-ции досуга					
										Иные сферы обслуживания	Иные сф.обслуж.	Ф5	18_1	18_1	к00067	
408	2					av				Связь	Связь					
										Отделение связи	отд. связи	Ф5	18_1	18_1	к00115	
										Почта 	почта 	Ф5	18_1	18_1	к00132	
										Телеграф	телеграф	Ф5	18_1	18_1	к00033	
										Переговорный пункт	переговор.пункт	Ф5	18_1	18_1	к00034	
409	2					av				Торговля	Торговля					
										Магазин	магазин	Ф5	18_1	18_1	к00134	
										Магазин антиквариата	магазин антиквариата	Ф5	18_1	18_1	к00136	
										Киоск	киоск	Ф5	18_1	18_1	к00129	
										Рынок	рынок	Ф5	18_1	18_1	к00130	
										Другие торговые точки	др.торгов.точки	Ф5	18_1	18_1	к00109	
410	2					av				Организации досуга	Орг-ции досуга					
										Музей, выставочный зал, картинная галерея	муэеи,выстав.зал,карт.галер.	Ф5	18_1	18_1	к00106	
										Кинотеатр, театр	кинотеатр, театр	Ф5	18_1	18_1	к00039	
										Гардероб (вешалка)	гардероб(вешалка)	Ф5	18_1	18_1	к00015	
										Библиотека	библиотека	Ф5	18_1	18_1	к00128	
										Ресторан, бар	ресторан, бар	Ф5	18_1	18_1	к00131	
										Объект игорного бизнеса	объект игор. бизн.	Ф5	18_1	18_1	к00201	
										Казино	казино	Ф5	18_1	18_1	к00202	
										Дискотека	дискотека	Ф5	18_1	18_1	к00203	
										Видеосалон	видеосалон	Ф5	18_1	18_1	к00204	
										Ипподром	ипподром	Ф5	18_1	18_1	к00205	
										Место отправления религиозного культа	место религиоз.культа	Ф5	18_1	18_1	к00107	
// ------------------------------------------------------------------------------------------------------																
129	1					rm		2	1f	Учреждения	Учреждения					
411	1					av				Тип учреждения	Тип учреждения					
									412	Образовательные учреждения	образовательные 					
									413	Здравоохранения	здравоохр.					
412	2					av				Образовательные учреждения	Образовательные 					
										Дошкольные	дошкольные	Ф5	18_1	18_1	к00153	
										Детсад (ясли)	детсад (ясли)	Ф5	18_1	18_1	к00025	
										Общеобразовательные	общеобразоват.	Ф5	18_1	18_1	к00154	
										Начального профессионального образования	нач.проф.обр-я	Ф5	18_1	18_1	к00156	
										Среднего профессионального образования	сред.проф.обр-я	Ф5	18_1	18_1	к00157	
										Высшего профессионального образования	высш.проф.обр-я	Ф5	18_1	18_1	к00155	
										Иные образовательные учреждения	иные 	Ф5	18_1	18_1	к00152	
